,id,isbn,isbn13,name,num_pages,language,genre,edition,year,author,author_rating,average_rating,ratings_count,impressions,clicks,level,score
37,38,1884777813,9781884777813,Python and Tkinter Programming,684,english,python,1,1999,John E. Grayson,3.5,3.53,15,0,0,advanced,0.23804549872875214
38,39,1593276036,9781593276034,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",562,english,python,1,2016,Eric Matthes,4.34,4.34,1290,0,0,beginner,0.4281884431838989
39,40,1545479119,9781545479117,Python Programming An In-Depth Guide Into The Essentials Of Python Programming,121,english,python,1,2016,The Code Academy,3.47,3.35,20,0,0,advanced,0.23173056542873383
40,41,1598631128,9781598631128,Python Programming for the Absolute Beginner,480,english,python,1,2003,Michael Dawson,3.94,3.9,452,0,0,beginner,0.3126123547554016
41,42,1597496553,9781597496551,The Basics of Hacking and Penetration Testing: Ethical Hacking and Penetration Testing Made Easy,159,english,ethical hacking,2,2013,Patrick Engebretson,3.94,3.92,283,0,0,beginner,0.3367839455604553
42,43,1849687226,9781849687225,Oracle Advanced PL/SQL Developer Professional Guide,428,english,database,2,2016,Saurabh Gupta,4.31,4.31,35,0,0,beginner,0.3425266146659851
43,44,857292986,9780857292988,Introduction to Artificial Intelligence,356,english,artificial intelligence,2,2011,Wolfgang Ertel,3.44,3.41,22,0,0,beginner,0.2717325687408447
44,45,1789539463,9781789539462,Python Artificial Intelligence Projects for Beginners: Get up and running with Artificial Intelligence using 8 smart and exciting AI applications,155,english,artificial intelligence,1,2018,Joshua Eckroth,4.33,4.33,3,0,0,beginner,0.3020861744880676
45,46,1119467659,9781119467656,Artificial Intelligence For Dummies,339,english,artificial intelligence,1,2018,John Paul Mueller,3.58,3.58,57,0,0,intermediate,0.2487785965204239
46,47,321204662,9780321204660,Artificial Intelligence: A Guide to Intelligent Systems,435,english,artificial intelligence,2,2005,Michael Negnevitsky,4.21,4.13,63,0,0,advanced,0.3334193229675293
47,48,3319141414,9783319141411,Data Mining: The Textbook,746,english,data science,1,2015,Charu C. Aggarwal,4.07,4.44,16,0,0,beginner,0.29724860191345215
48,49,1306772516,9781306772518,"Big Data, Data Mining, and Machine Learning: Value Creation for Business Leaders and Practitioners",289,english,machine learning,1,2014,Jared Dean,3.3,3.53,15,0,0,advanced,0.23146788775920868
49,50,1449361323,9781449361327,Data Science for Business: What you need to know about data mining and data-analytic thinking,409,english,data science,1,2013,Foster Provost,4.16,4.16,1752,0,0,intermediate,0.4589306116104126
50,51,1521031193,9781521031193,A Level Physics MCQs: Multiple Choice Questions and Answers (Quiz & Tests with Answer Keys),211,english,physics,1,2017,Arshad Iqbal,3.82,3.82,102,0,0,beginner,0.2718272805213928
51,52,52,52,General Knowledge Quiz Book,386,english,general knowledge,1,2014,Capella,4.0,4.0,2,0,0,beginner,0.2758879065513611
52,53,1535192976,9781535192972,Python: Practical Python Programming For Beginners and Experts,161,english,python,1,2016,Jonathan Yates,3.79,3.5,8,0,0,beginner,0.2489139884710312
53,54,1484209591,9781484209592,"Python Data Analytics: Data Analysis and Science Using Pandas, Matplotlib and the Python Programming Language",350,english,python,1,2015,Fabio Nelli,3.45,3.14,7,0,0,beginner,0.2214003950357437
54,55,55,55,Object-Oriented Programming (OOP) with Java,3341,english,java,1,2016,Dick Baldwin,4.22,4.2,5,0,0,intermediate,0.2927452325820923
55,56,194316173,9780194316170,Oxford Business English Dictionary for Learners of English,643,english,english,1,2006,Joseph Noble,4.7,4.63,8,0,0,advanced,0.3277500867843628
56,57,1789538670,9781789538670,Hands-On Deep Learning for Images with TensorFlow: Build intelligent computer vision applications using TensorFlow and Keras,135,english,machine learning,1,2018,Will Ballard,4.5,4.5,50,0,0,advanced,0.3199453353881836
57,58,1465461884,9781465461889,Coding Projects in Python,226,english,python,1,2017,D.K. Publishing,4.13,4.17,72,0,0,beginner,0.2946740388870239
58,59,199539537,9780199539536,Oxford Dictionary of Proverbs,625,english,english,1,2015,Jennifer Speake,4.17,4.14,36,0,0,intermediate,0.2913903594017029
59,60,816051240,9780816051243,Encyclopedia of Mathematics,577,english,mathematics,1,2005,James Stuart Tanton,4.25,4.5,2,0,0,intermediate,0.30443358421325684
